Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Indice de vieillissement 2022
200000172;CC Faucigny - Glières;64
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;72
200000545;CC des Portes de Romilly sur Seine;93
200000628;CC Rhône Lez Provence;101
200000800;CC Coeur de Sologne;147
200000925;CC de la Plaine Dijonnaise;71
200000933;CC Sauldre et Sologne;167
200004802;CC du Pays de Fayence;114
200005932;CC des Portes de Sologne;95
200005957;CC de la Région de Rambervillers;95
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;117
200006716;CC du Nogentais;90
200006930;CC du Haut Allier Margeride;170
200006971;CC du Perche;151
200007052;CC de la Marche Berrichonne;268
200007177;CC Pays de Nérondes;130
200010650;CA du Grand Dole;106
200010700;CA Caux Seine Agglo;76
200011773;CA Annemasse-Les Voirons-Agglomération;61
200011781;CC Portes du Berry entre Loire et Val d'Aubois;123
200013050;CC Sauer-Pechelbronn;112
200015162;CC de l'Oriente;182
200016905;CC du Pays de Lamastre;176
200017341;CC Lodévois et Larzac;128
200017846;CA Étampois Sud Essonne;61
200018083;CC de Desvres-Samer;72
200018166;CC Le Grésivaudan;81
200018406;CC du Romorantinais et du Monestois;124
200018521;CC du Val de Bouzanne;135
200018653;CA CAP Excellence;68
200022986;CC du Grand Pic Saint-Loup;95
200023075;CC du Pays de Maîche;80
200023125;CC Les Portes Briardes Entre Villes et Forêts;65
200023240;CC Pays de Nemours;88
200023299;CC Coeur de Tarentaise;87
200023307;CA du Grand Villeneuvois;131
200023372;CC de la Vallée de Chamonix-Mont-Blanc;99
200023414;Métropole Rouen Normandie;80
200023620;CC de la Gascogne Toulousaine;60
200023737;CA du Grand Cahors;141
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;215
200023794;CC de Blaye;109
200023919;CC Gâtinais Val de Loing;97
200026573;CC Haut-Jura Saint-Claude;118
200027027;CC Arc Sud Bretagne;140
200027076;CC Arnon Boischaut Cher;145
200027100;CC Méditerranée Porte des Maures;174
200027183;CU Perpignan Méditerranée Métropole;113
200027217;CC Sarlat-Périgord Noir;178
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;129
200027548;CC des Savanes;17
200029734;CC des 4B Sud Charente;137
200029999;CC Rives de l'Ain - Pays du Cerdon;78
200030195;Métropole Nice Côte d'Azur;112
200030385;CA de Blois ''Agglopolys'';95
200030435;CC d'Aire-sur-l'Adour;157
200030526;CC du Ried de Marckolsheim;79
200030633;CA du Caudrésis et du Catésis;78
200030658;CC du Trièves;116
200030674;CA Val de Garonne Agglomération;131
200032514;CC Berry-Loire-Vauvise;148
200033025;CA de Bar-le-Duc - Sud Meuse;142
200033090;CC Plaines et Monts de France;39
200033116;CC Cluses-Arve et Montagnes;64
200033173;CC de la Haute Vallée de Chevreuse;98
200033181;CA Chartres Métropole;87
200033298;CC des Coëvrons;102
200033579;CU d'Arras;83
200033827;CC de Fium'Orbu Castellu;122
200033868;CC des Ballons des Hautes-Vosges;153
200034023;CC Tarn-Agout;85
200034031;CC des Monts d'Alban et du Villefranchois;140
200034049;CC Centre Tarn;106
200034056;CC du Lautrécois et du Pays d'Agout;109
200034064;CC du Cordais et du Causse;216
200034098;CC des Montagnes du Giffre;91
