Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des ménages d'une seule personne 2022
200000172;CC Faucigny - Glières;32.5
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;30.8
200000545;CC des Portes de Romilly sur Seine;41.2
200000628;CC Rhône Lez Provence;34.7
200000800;CC Coeur de Sologne;38.3
200000925;CC de la Plaine Dijonnaise;24.4
200000933;CC Sauldre et Sologne;40.9
200004802;CC du Pays de Fayence;28.4
200005932;CC des Portes de Sologne;30.8
200005957;CC de la Région de Rambervillers;34.7
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;38.2
200006716;CC du Nogentais;34.4
200006930;CC du Haut Allier Margeride;45.8
200006971;CC du Perche;40.9
200007052;CC de la Marche Berrichonne;42
200007177;CC Pays de Nérondes;38.8
200010650;CA du Grand Dole;39.9
200010700;CA Caux Seine Agglo;30.4
200011773;CA Annemasse-Les Voirons-Agglomération;41.1
200011781;CC Portes du Berry entre Loire et Val d'Aubois;36.3
200013050;CC Sauer-Pechelbronn;26.1
200015162;CC de l'Oriente;38.5
200016905;CC du Pays de Lamastre;37.8
200017341;CC Lodévois et Larzac;42.7
200017846;CA Étampois Sud Essonne;33.1
200018083;CC de Desvres-Samer;25
200018166;CC Le Grésivaudan;29.3
200018406;CC du Romorantinais et du Monestois;36.2
200018521;CC du Val de Bouzanne;38.2
200018653;CA CAP Excellence;40.4
200022986;CC du Grand Pic Saint-Loup;25.9
200023075;CC du Pays de Maîche;36.7
200023125;CC Les Portes Briardes Entre Villes et Forêts;27.4
200023240;CC Pays de Nemours;35.7
200023299;CC Coeur de Tarentaise;42.7
200023307;CA du Grand Villeneuvois;39.2
200023372;CC de la Vallée de Chamonix-Mont-Blanc;39.8
200023414;Métropole Rouen Normandie;44.4
200023620;CC de la Gascogne Toulousaine;30.9
200023737;CA du Grand Cahors;42.4
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;35.3
200023794;CC de Blaye;35.2
200023919;CC Gâtinais Val de Loing;32.3
200026573;CC Haut-Jura Saint-Claude;38.4
200027027;CC Arc Sud Bretagne;34.5
200027076;CC Arnon Boischaut Cher;38.8
200027100;CC Méditerranée Porte des Maures;35.9
200027183;CU Perpignan Méditerranée Métropole;41.7
200027217;CC Sarlat-Périgord Noir;39.5
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;36.1
200027548;CC des Savanes;22.1
200029734;CC des 4B Sud Charente;34.9
200029999;CC Rives de l'Ain - Pays du Cerdon;34.2
200030195;Métropole Nice Côte d'Azur;43.1
200030385;CA de Blois ''Agglopolys'';40.3
200030435;CC d'Aire-sur-l'Adour;38.3
200030526;CC du Ried de Marckolsheim;24.4
200030633;CA du Caudrésis et du Catésis;32.6
200030658;CC du Trièves;35
200030674;CA Val de Garonne Agglomération;38
200032514;CC Berry-Loire-Vauvise;39.8
200033025;CA de Bar-le-Duc - Sud Meuse;44
200033090;CC Plaines et Monts de France;20.7
200033116;CC Cluses-Arve et Montagnes;34.9
200033173;CC de la Haute Vallée de Chevreuse;30.1
200033181;CA Chartres Métropole;38.7
200033298;CC des Coëvrons;34.7
200033579;CU d'Arras;39.6
200033827;CC de Fium'Orbu Castellu;35.3
200033868;CC des Ballons des Hautes-Vosges;39.1
200034023;CC Tarn-Agout;31.2
200034031;CC des Monts d'Alban et du Villefranchois;33.7
200034049;CC Centre Tarn;31.3
200034056;CC du Lautrécois et du Pays d'Agout;27.7
200034064;CC du Cordais et du Causse;37.7
200034098;CC des Montagnes du Giffre;33.7
200034130;CC Gally Mauldre;22.6
200034197;CC de Montaigne Montravel et Gurson;31.7
200034205;CC de la Costa Verde;37.9
200034270;CC du Pays de Barr;30.7
200034379;CC Pays d'Uzès;34.1
200034411;CC du Piémont Cévenol;33.2
200034601;CC Causses Aigoual Cévennes;44.1
200034635;CC du Kochersberg;24.4
200034692;CA du Gard Rhodanien;35.5
200034700;CA Durance-Lubéron-Verdon Agglomération;38.5
200034718;CC de Vitry, Champagne et Der;38.7
200034726;CC Bastides de Lomagne;33.9
200034825;CA du Grand Guéret;45
200034833;CC des Bastides Dordogne-Périgord;36.2
200034874;CC Côtes de Meuse Woëvre;33.5
200034882;CC Pays du Mont-Blanc;40.4
200034957;CC du Frontonnais;26
200035087;CA Terre de Provence;33.5
200035103;CC de la Vallée de la Haute Sarthe;35.2
200035111;CC des Sources de l'Orne;38.7
200035129;CC de Cèze Cévennes;41.3
200035137;CC Marche Occitane - Val d'Anglin;39.8
200035202;CC Charlieu-Belmont;34.3
200035319;Estérel Côte d'Azur Agglomération;40.3
200035327;CC Cazals-Salviac;35.2
200035442;CC du Sud Artois;30.1
200035533;CC du Grand Saint Emilionnais;30.6
200035541;CC des Landes d'Armagnac;35.3
200035632;CC Armagnac Adour;37.8
200035707;CC Piège Lauragais Malepère;34.1
200035715;CA Carcassonne Agglo;38.2
200035723;CC Ventoux Sud;35.1
200035731;CA Roannais Agglomération;42.4
200035756;CC Astarac Arros en Gascogne;31.3
200035764;CC de la Beauce Loirétaine;27.3
200035772;CC du Pays du Saintois;29.9
200035814;CA Flers Agglo;39.2
200035848;CC du Châtillonnais en Berry;42.9
200035855;CC Castelnaudary Lauragais Audois;37
200035863;CC Région Lézignanaise, Corbières et Minervois;34.5
200035970;CC Vexin Centre;25.2
200036069;CC du Pays de Mortagne-au-Perche;38.7
200036077;CC du Golfe de Saint-Tropez;38.6
200036135;CC Coeur de France;44
200036150;CC des Hauts du Val de Saône;39.5
200036465;CC de Thann-Cernay;34.1
200036473;CA "Saintes - Grandes Rives - L'Agglo";40.4
200036499;CC de Marana-Golo;32
200036523;CC des Bastides en Haut Agenais Périgord;34.7
200036549;CC Val de Gray;38.9
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);34.2
200037133;CC du Provinois;32.9
200038958;CC de la Pieve de l'Ornano et du Taravo;37.3
200038990;CC de Saint-Méen Montauban;30.3
200039022;CA Vitré Communauté;31.5
200039055;CC Ouche et Montagne;28
200039063;CC Forêts, Seine et Suzon;31.3
200039204;CC de Lacq-Orthez;34.6
200039519;CC du Quercy Blanc;34.5
200039642;CC Le Tonnerrois en Bourgogne;41.8
200039709;CC du Serein;39.3
200039758;CC Avallon, Vézelay, Morvan;43
200039808;CC des Gorges de l'Ardèche;37.7
200039824;CC Ardèche des Sources et Volcans;37.9
200039832;CC Pays des Vans en Cévennes;41.5
200039857;CA du Pays de Grasse;32.9
200039865;Metz Métropole;44.1
200039907;CC du Sud Messin;24.2
200039915;CA Cannes Pays de Lérins;45.7
200039931;CC Alpes d'Azur;38.2
200039949;CC Rives de Moselle;33.8
200040038;CC Saône Doubs Bresse;28.8
