Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Taux d'évolution annuel du nombre de logements sociaux (RPLS) 2019-2023
200000172;CC Faucigny - Glières;2.3
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;-0.2
200000545;CC des Portes de Romilly sur Seine;-0.4
200000628;CC Rhône Lez Provence;-2.9
200000800;CC Coeur de Sologne;-0.1
200000925;CC de la Plaine Dijonnaise;-0.1
200000933;CC Sauldre et Sologne;-0.7
200004802;CC du Pays de Fayence;0
200005932;CC des Portes de Sologne;0.4
200005957;CC de la Région de Rambervillers;-1
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;-0.1
200006716;CC du Nogentais;-0.6
200006930;CC du Haut Allier Margeride;-0.5
200006971;CC du Perche;-0.7
200007052;CC de la Marche Berrichonne;-0.8
200007177;CC Pays de Nérondes;-0.6
200010650;CA du Grand Dole;0.1
200010700;CA Caux Seine Agglo;0.2
200011773;CA Annemasse-Les Voirons-Agglomération;2.4
200011781;CC Portes du Berry entre Loire et Val d'Aubois;-0.4
200013050;CC Sauer-Pechelbronn;-0.4
200015162;CC de l'Oriente;0
200016905;CC du Pays de Lamastre;-1.4
200017341;CC Lodévois et Larzac;-0.2
200017846;CA Étampois Sud Essonne;1.7
200018083;CC de Desvres-Samer;2.9
200018166;CC Le Grésivaudan;1.2
200018406;CC du Romorantinais et du Monestois;0
200018521;CC du Val de Bouzanne;-1
200018653;CA CAP Excellence;-0.4
200022986;CC du Grand Pic Saint-Loup;4.5
200023075;CC du Pays de Maîche;-0.8
200023125;CC Les Portes Briardes Entre Villes et Forêts;2.9
200023240;CC Pays de Nemours;0.5
200023299;CC Coeur de Tarentaise;0
200023307;CA du Grand Villeneuvois;0.7
200023372;CC de la Vallée de Chamonix-Mont-Blanc;0.2
200023414;Métropole Rouen Normandie;0.4
200023620;CC de la Gascogne Toulousaine;2.9
200023737;CA du Grand Cahors;1.5
