Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Part des résidences secondaires et logements occasionnels 2022
200000172;CC Faucigny - Glières;8.6
200000438;CC du Pays de Pontchâteau St-Gildas-des-Bois;3.3
200000545;CC des Portes de Romilly sur Seine;2.8
200000628;CC Rhône Lez Provence;3
200000800;CC Coeur de Sologne;20.2
200000925;CC de la Plaine Dijonnaise;1.3
200000933;CC Sauldre et Sologne;13.5
200004802;CC du Pays de Fayence;24.6
200005932;CC des Portes de Sologne;6.1
200005957;CC de la Région de Rambervillers;3.6
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;7.7
200006716;CC du Nogentais;8.2
200006930;CC du Haut Allier Margeride;36.2
200006971;CC du Perche;10.6
200007052;CC de la Marche Berrichonne;21.1
200007177;CC Pays de Nérondes;13.9
200010650;CA du Grand Dole;2.1
200010700;CA Caux Seine Agglo;1.6
200011773;CA Annemasse-Les Voirons-Agglomération;6.1
200011781;CC Portes du Berry entre Loire et Val d'Aubois;7.9
200013050;CC Sauer-Pechelbronn;6.2
200015162;CC de l'Oriente;53.1
200016905;CC du Pays de Lamastre;29.8
200017341;CC Lodévois et Larzac;14.9
200017846;CA Étampois Sud Essonne;3.3
200018083;CC de Desvres-Samer;2.6
200018166;CC Le Grésivaudan;13.8
200018406;CC du Romorantinais et du Monestois;5.7
200018521;CC du Val de Bouzanne;11.5
200018653;CA CAP Excellence;4.5
200022986;CC du Grand Pic Saint-Loup;4.8
200023075;CC du Pays de Maîche;6.7
200023125;CC Les Portes Briardes Entre Villes et Forêts;2.3
200023240;CC Pays de Nemours;5.6
200023299;CC Coeur de Tarentaise;73.6
200023307;CA du Grand Villeneuvois;3
200023372;CC de la Vallée de Chamonix-Mont-Blanc;65.8
200023414;Métropole Rouen Normandie;1.8
200023620;CC de la Gascogne Toulousaine;3
200023737;CA du Grand Cahors;9.5
200023778;CA du Pays de Saint-Gilles-Croix-de-Vie;46.6
200023794;CC de Blaye;5.1
200023919;CC Gâtinais Val de Loing;6.6
200026573;CC Haut-Jura Saint-Claude;10.4
200027027;CC Arc Sud Bretagne;27.9
200027076;CC Arnon Boischaut Cher;10.6
200027100;CC Méditerranée Porte des Maures;49
200027183;CU Perpignan Méditerranée Métropole;17
200027217;CC Sarlat-Périgord Noir;20.9
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;13.9
200027548;CC des Savanes;6.8
200029734;CC des 4B Sud Charente;6.3
200029999;CC Rives de l'Ain - Pays du Cerdon;8.2
200030195;Métropole Nice Côte d'Azur;16.9
200030385;CA de Blois ''Agglopolys'';3.9
200030435;CC d'Aire-sur-l'Adour;10.3
200030526;CC du Ried de Marckolsheim;2.3
200030633;CA du Caudrésis et du Catésis;1.4
200030658;CC du Trièves;32.7
200030674;CA Val de Garonne Agglomération;3.3
200032514;CC Berry-Loire-Vauvise;17.8
200033025;CA de Bar-le-Duc - Sud Meuse;2.2
200033090;CC Plaines et Monts de France;1.2
200033116;CC Cluses-Arve et Montagnes;25.9
200033173;CC de la Haute Vallée de Chevreuse;3.8
200033181;CA Chartres Métropole;2.8
200033298;CC des Coëvrons;7.4
200033579;CU d'Arras;1
200033827;CC de Fium'Orbu Castellu;40.4
200033868;CC des Ballons des Hautes-Vosges;17.2
200034023;CC Tarn-Agout;2.3
200034031;CC des Monts d'Alban et du Villefranchois;17.9
200034049;CC Centre Tarn;9
200034056;CC du Lautrécois et du Pays d'Agout;6
200034064;CC du Cordais et du Causse;30.6
200034098;CC des Montagnes du Giffre;61.7
200034130;CC Gally Mauldre;2.6
200034197;CC de Montaigne Montravel et Gurson;11.1
200034205;CC de la Costa Verde;49.7
200034270;CC du Pays de Barr;6.5
200034379;CC Pays d'Uzès;19.2
200034411;CC du Piémont Cévenol;13.6
200034601;CC Causses Aigoual Cévennes;55.1
200034635;CC du Kochersberg;1.3
200034692;CA du Gard Rhodanien;7.5
200034700;CA Durance-Lubéron-Verdon Agglomération;16.2
200034718;CC de Vitry, Champagne et Der;1.7
200034726;CC Bastides de Lomagne;10.9
200034825;CA du Grand Guéret;8.9
200034833;CC des Bastides Dordogne-Périgord;22.2
200034874;CC Côtes de Meuse Woëvre;12
200034882;CC Pays du Mont-Blanc;52.5
200034957;CC du Frontonnais;1.4
200035087;CA Terre de Provence;3.5
200035103;CC de la Vallée de la Haute Sarthe;15.4
200035111;CC des Sources de l'Orne;6.7
200035129;CC de Cèze Cévennes;21.1
200035137;CC Marche Occitane - Val d'Anglin;26.6
200035202;CC Charlieu-Belmont;7.4
200035319;Estérel Côte d'Azur Agglomération;38.4
200035327;CC Cazals-Salviac;27.5
200035442;CC du Sud Artois;1.6
200035533;CC du Grand Saint Emilionnais;7.7
200035541;CC des Landes d'Armagnac;11.9
200035632;CC Armagnac Adour;10
200035707;CC Piège Lauragais Malepère;9.9
200035715;CA Carcassonne Agglo;7.2
200035723;CC Ventoux Sud;25.6
200035731;CA Roannais Agglomération;3.2
200035756;CC Astarac Arros en Gascogne;10.3
200035764;CC de la Beauce Loirétaine;2.5
200035772;CC du Pays du Saintois;3.4
200035814;CA Flers Agglo;4.7
200035848;CC du Châtillonnais en Berry;15.4
200035855;CC Castelnaudary Lauragais Audois;6
200035863;CC Région Lézignanaise, Corbières et Minervois;16.9
200035970;CC Vexin Centre;2.6
200036069;CC du Pays de Mortagne-au-Perche;17.2
200036077;CC du Golfe de Saint-Tropez;57.5
200036135;CC Coeur de France;6.9
200036150;CC des Hauts du Val de Saône;17.1
200036465;CC de Thann-Cernay;1.8
200036473;CA "Saintes - Grandes Rives - L'Agglo";3.7
200036499;CC de Marana-Golo;15.9
200036523;CC des Bastides en Haut Agenais Périgord;17.3
200036549;CC Val de Gray;5.1
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);3
200037133;CC du Provinois;5
200038958;CC de la Pieve de l'Ornano et du Taravo;55
200038990;CC de Saint-Méen Montauban;2.8
200039022;CA Vitré Communauté;2.4
